1928|The Greatest Show on Earth|47|38
1928|High Noon|97|58
1928|Ivanhoe|81|16
1928|Moulin Rouge|70|10
1928|The Quiet Man|91|45
1928|From Here to Eternity|92|61
1928|Julius Caesar|95|22
1928|The Robe|32|19
1928|Roman Holiday|97|60
1928|Shane|97|36
1928|On the Waterfront||0
1928|The Caine Mutiny|92|25
1928|The Country Girl|86|7
1928|Seven Brides for Seven Brothers|88|26
1928|Three Coins in the Fountain|60|10
1928|Marty|98|42
1928|Love Is a Many-Splendored Thing|53|15
1928|Mister Roberts|93|27
1928|Picnic|44|9
1928|The Rose Tattoo|63|8
1928|Around the World in 80 Days|69|42
1928|Friendly Persuasion|88|8
1928|Giant|93|45
1928|The King and I|96|26
1928|The Ten Commandments|90|39
1928|The Bridge on the River Kwai|95|60
1928|12 Angry Men|100|55
1928|Peyton Place|65|17
1928|Sayonara|93|14
1928|Witness for the Prosecution|100|32
1928|Gigi|81|37
1928|Auntie Mame|93|15
1928|Cat on a Hot Tin Roof|97|37
1928|The Defiant Ones|92|52
1928|Separate Tables|65|17
1928|Ben-Hur|86|51
1928|Anatomy of a Murder|100|48
1928|The Diary of Anne Frank|79|19
1928|The Nun's Story|88|17
1928|Room at the Top|100|21
1928|The Apartment|93|72
1928|The Alamo|52|21
1928|Elmer Gantry|94|31
1928|Sons and Lovers|67|9
1928|The Sundowners|75|12
1928|West Side Story|91|79
1928|Fanny||4
1928|The Guns of Navarone|92|24
1928|The Hustler|98|45
1928|Judgment at Nuremberg|91|23
1928|Lawrence of Arabia|93|121
1928|The Longest Day|87|23
1928|The Music Man|94|17
1928|Mutiny on the Bounty|70|20
1928|To Kill a Mockingbird|92|66
1928|Tom Jones|82|39
1928|America America|67|9
1928|Cleopatra|62|39
1928|How the West Was Won|86|22
1928|Lilies of the Field|91|23
1928|My Fair Lady|95|60
1928|Becket|76|25
1928|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|98|91
1928|Mary Poppins|98|53
1928|Zorba the Greek|80|10
1928|The Sound of Music|83|71
1928|Darling|67|18
1928|Doctor Zhivago|84|50
1928|Ship of Fools|72|18
1928|A Thousand Clowns|71|17
1928|A Man for All Seasons|83|42
1928|Alfie|96|27
1928|The Russians Are Coming, the Russians Are Coming|86|21
1928|The Sand Pebbles|89|18
1928|Who's Afraid of Virginia Woolf?|95|43
1928|In the Heat of the Night|95|55
1928|Bonnie and Clyde|88|64
1928|Doctor Dolittle|29|21
1928|The Graduate|87|82
1928|Guess Who's Coming to Dinner|70|37
1928|Oliver!|82|34
1928|Funny Girl|93|45
1928|The Lion in Winter|90|41
1928|Rachel, Rachel|86|7
1928|Romeo and Juliet|95|38
1928|Midnight Cowboy|88|76
1928|Anne of the Thousand Days|38|13
1928|Butch Cassidy and the Sundance Kid|88|52
1928|Hello, Dolly!|43|30
1928|Z|94|47
1928|Patton|94|49
1928|Airport|73|15
1928|Five Easy Pieces|88|51
1928|Love Story|68|28
1928|M*A*S*H|85|54
1928|The French Connection|98|83
1928|A Clockwork Orange|86|71
1928|Fiddler on the Roof|83|41
1928|The Last Picture Show|100|58
1928|Nicholas and Alexandra|67|15
1928|The Godfather|97|132
1928|Cabaret|93|43
1928|Deliverance|89|62
1928|The Emigrants|92|13
1928|Sounder|90|21
1928|The Sting|94|63
1928|American Graffiti|96|53
1928|Cries and Whispers|90|31
1928|The Exorcist|83|83
1928|A Touch of Class|83|12
1928|The Godfather Part II|96|114
1928|Chinatown|99|76
1928|The Conversation|96|57
1928|Lenny|88|26
1928|The Towering Inferno|69|32
1928|One Flew Over the Cuckoo's Nest|94|83
1928|Barry Lyndon|91|74
1928|Dog Day Afternoon|96|48
1928|Jaws|98|91
1928|Nashville|91|64
1928|Rocky|92|66
1928|All the President's Men|94|64
1928|Bound for Glory|83|23
1928|Network|91|70
1928|Taxi Driver|96|94
1928|Annie Hall|96|83
1928|The Goodbye Girl|84|19
1928|Julia|76|29
1928|Star Wars|92|133
1928|The Turning Point|65|26
1928|The Deer Hunter|92|78
1928|Coming Home|83|24
1928|Heaven Can Wait|88|42
1928|Midnight Express|93|27
1928|An Unmarried Woman|92|26
1928|Kramer vs. Kramer|88|52
1928|All That Jazz|86|43
1928|Apocalypse Now|98|97
1928|Breaking Away|95|41
1928|Norma Rae|89|27
1928|Ordinary People|89|54
1928|Coal Miner's Daughter|86|22
1928|The Elephant Man|92|53
1928|Raging Bull|93|76
1928|Tess|81|26
1928|Chariots of Fire|82|73
1928|Atlantic City|100|34
1928|On Golden Pond|93|30
1928|Raiders of the Lost Ark|95|80
1928|Reds|89|45
1928|Gandhi|85|62
1928|E.T. the Extra-Terrestrial|98|133
1928|Missing|94|33
1928|Tootsie|90|51
1928|The Verdict|88|34
1928|Terms of Endearment|78|54
1928|The Big Chill|69|39
1928|The Dresser|100|15
1928|The Right Stuff|96|50
1928|Tender Mercies|84|25
1928|Amadeus|93|100
1928|The Killing Fields|93|43
1928|A Passage to India|77|26
1928|Places in the Heart|89|38
1928|A Soldier's Story|92|24
1928|Out of Africa|62|87
1928|The Color Purple|81|31
1928|Kiss of the Spider Woman|87|30
1928|Prizzi's Honor|86|36
1928|Witness|93|41
1928|Platoon|87|69
1928|Children of a Lesser God|79|34
1928|Hannah and Her Sisters|91|57
1928|The Mission|64|25
1928|A Room with a View|100|32
1928|The Last Emperor|89|72
1928|Broadcast News|98|52
1928|Fatal Attraction|76|54
1928|Hope and Glory|95|21
1928|Moonstruck|94|64
1928|Rain Man|89|80
1928|The Accidental Tourist|81|32
1928|Dangerous Liaisons|93|30
1928|Mississippi Burning|84|25
1928|Working Girl|84|43
1928|Driving Miss Daisy|82|65
1928|Born on the Fourth of July|85|48
1928|Dead Poets Society|84|57
1928|Field of Dreams|87|61
1928|My Left Foot|98|41
1928|Dances with Wolves|83|76
1928|Awakenings|88|34
1928|Ghost|74|74
1928|The Godfather Part III|68|63
1928|Goodfellas|96|103
1928|The Silence of the Lambs|96|104
1928|Beauty and the Beast|94|118
1928|Bugsy|85|60
1928|JFK|84|64
1928|The Prince of Tides|70|33
1928|Unforgiven|96|106
1928|The Crying Game|94|66
1928|A Few Good Men|83|64
1928|Howards End|94|67
1928|Scent of a Woman|89|45
1928|Schindler's List|98|128
1928|The Fugitive|96|78
1928|In the Name of the Father|94|50
1928|The Piano|90|62
1928|The Remains of the Day|95|43
1928|Forrest Gump|71|104
1928|Four Weddings and a Funeral|96|69
1928|Pulp Fiction|92|108
1928|Quiz Show|96|57
1928|The Shawshank Redemption|91|77
1928|Braveheart|78|83
1928|Apollo 13|96|92
1928|Babe|97|70
1928|The Postman (Il Postino)|94|32
1928|Sense and Sensibility|97|64
1928|The English Patient|85|88
1928|Fargo|94|99
1928|Jerry Maguire|83|84
1928|Secrets & Lies|95|40
1928|Shine|91|44
1928|Titanic|89|193
1928|As Good as It Gets|85|79
1928|The Full Monty|96|50
1928|Good Will Hunting|98|81
1928|L.A. Confidential|99|115
1928|Shakespeare in Love|92|141
1928|Elizabeth|82|62
1928|Life Is Beautiful|80|87
1928|Saving Private Ryan|93|143
1928|The Thin Red Line|80|102
1928|American Beauty|87|190
1928|The Cider House Rules|71|112
1928|The Green Mile|78|134
1928|The Insider|96|137
1928|The Sixth Sense|86|158
